Index,Current(mA)
0,-2.014492
1,16.037899
2,-4.178877
3,-3.673936
4,-2.062045
5,7.494094
6,1.413717
7,-4.566163
8,-2.404229
9,-2.114990
10,-2.728274
11,15.797194
12,-4.470077
13,-3.536670
14,-2.224803
15,6.604809
16,1.342633
17,-4.215154
18,-1.922328
19,-2.069889
20,20.653458
21,-4.723037
22,-2.464037
23,-2.350793
24,22.270250
25,-2.460606
26,-3.742568
27,-2.008610
28,-1.992922
29,25.756306
30,-4.678426
31,-2.584145
32,-2.264022
33,14.920656
34,-4.498510
35,-3.317535
36,-2.307162
37,6.580297
38,1.531373
39,-3.965625
40,-2.074791
41,-2.156660
42,23.945381
43,-4.682838
44,-2.273336
45,-2.363049
46,26.992678
47,-3.842576
48,-3.463625
49,-2.113029
50,-2.255197
51,19.065096
52,-4.466645
53,-2.210096
54,-2.250785
55,12.881280
56,-4.733823
57,-3.196447
58,-2.396875
59,20.978481
60,-2.234607
61,-3.703350
62,-2.197840
63,-2.108127
64,27.521149
65,-4.912268
66,-2.743471
67,-2.050770
68,27.451536
69,-3.908268
70,-3.462155
71,-2.136561
72,-2.290494
73,18.580256
74,-4.731371
75,-2.243922
76,-2.200291
77,11.106632
78,-4.525963
79,-2.979274
80,-2.317457
81,16.898752
82,-1.304143
83,-3.784729
84,-2.328242
85,-2.039004
86,26.316645
87,-4.841674
88,-2.298338
89,-2.452762
90,19.824469
91,-4.284768
92,-3.456762
93,-2.033121
94,-2.413053
95,10.839455
96,-4.444094
97,-2.108127
98,-2.477764
99,12.972954
100,-4.280846
101,-3.070457
102,-2.091459
103,22.712442
104,-2.693957
105,-3.770512
106,-2.361088
107,-2.143424
108,27.568213
109,-4.506844
110,-2.289514
111,-2.026748
112,22.675184
113,-4.164170
114,-3.333223
115,-2.332654
116,-1.325713
117,6.620987
118,-4.584792
119,-2.274807
120,-2.592969
121,16.337433
122,-4.611264
123,-2.935153
124,-2.384129
125,22.953636
126,-2.695428
127,-3.825418
128,-2.271865
129,-2.194899
130,26.667160
131,-4.682838
132,-2.625814
133,-2.298828
134,27.215244
135,-3.936701
136,-3.711684
137,-1.998315
138,-2.555221
139,12.796960
140,-4.360754
141,-2.415504
142,-2.382168
143,12.159165
144,-4.036219
145,-3.615108
146,-2.180192
147,6.759723
148,1.408324
149,-4.239666
150,-2.387070
151,-2.153719
152,24.591511
153,-4.625481
154,-2.493942
155,-2.022826
156,23.461519
157,-3.050358
158,-3.671484
159,-2.029690
160,-2.376776
161,22.560469
162,-4.582830
163,-2.365990
164,-2.477764
165,17.240934
166,-4.680877
167,-3.130756
168,-2.145385
169,0.445014
170,4.237467
171,-3.860715
172,-2.320399
173,-2.342949
174,17.897358
175,-4.477430
176,-2.776317
177,-2.076262
178,26.522543
179,-3.351362
180,-3.742078
181,-2.594440
182,-2.116461
183,11.807668
184,-4.340164
185,-2.192447
186,-2.164994
187,12.054255
188,-4.501451
189,-3.586674
190,-2.249315
191,-1.973313
192,11.841494
193,-4.822064
194,-2.156170
195,-2.234607
196,15.827099
197,-4.396541
198,-2.987608
199,-2.179211
200,19.904869
201,-1.684565
202,-4.022002
203,-2.247354
204,-2.053711
205,25.926908
206,-4.424485
207,-2.514041
208,-2.236569
209,27.758913
210,-3.914151
211,-3.796494
212,-2.102735
213,-2.203723
214,12.957757
215,-4.635285
216,-2.487569
217,-2.210586
218,21.445185
219,-3.978862
220,-3.575889
221,-2.090479
222,12.038077
223,0.005273
224,-4.288199
225,-2.122834
226,-2.223822
227,26.970617
228,-4.699016
229,-2.531690
230,-2.360108
231,26.853451
232,-3.527356
233,-3.742078
234,-2.276768
235,-2.358146
236,15.759446
237,-4.524493
238,-2.384129
239,-2.374815
240,11.657165
241,-4.179368
242,-3.120951
243,-2.138522
244,9.572198
245,0.860732
246,-4.118578
247,-2.246863
248,-1.896346
249,19.860748
250,-4.702938
251,-3.007217
252,-2.237549
253,23.730658
254,-3.021924
255,-3.825909
256,-2.182643
257,-2.290985
258,19.400417
259,-4.781866
260,-2.315496
261,-1.937035
262,11.812570
263,-4.196035
264,-2.903778
265,-2.429721
266,8.529469
267,1.007313
268,-4.046514
269,-2.328732
270,-2.304711
271,27.182398
272,-4.752451
273,-2.347852
274,-2.066947
275,22.283487
276,-4.524493
277,-3.527356
278,-2.257648
279,0.983781
280,3.503096
281,-4.238195
282,-2.128717
283,-2.278239
284,24.563076
285,-4.270551
286,-2.525316
287,-2.606205
288,27.641748
289,-4.062692
290,-3.453820
291,-2.408641
292,-2.277258
293,24.648376
294,-4.308299
295,-2.373834
296,-1.941447
297,16.683538
298,-4.664209
299,-2.901817
300,-2.194408
301,12.058667
302,-0.002080
303,-3.907288
304,-2.025768
305,-2.101754
306,25.462166
307,-4.540670
308,-2.696408
309,-2.352754
310,27.162788
311,-3.878364
312,-3.531768
313,-2.202252
314,-2.188035
315,21.699615
316,-4.321045
317,-2.136070
318,-1.768394
319,11.300765
320,-4.416641
321,-2.767983
322,-2.149307
323,2.157893
324,3.295727
325,-4.313692
326,-2.182643
327,-2.104696
328,19.917616
329,-4.752451
330,-3.043494
331,-2.027729
332,26.346548
333,-3.749922
334,-3.806299
335,-2.471391
336,-2.047338
337,20.086744
338,-4.638227
339,-4.638227
340,-3.043494
341,-2.027729
342,26.346548
343,-3.749922
344,-3.806299
345,-2.471391
346,-2.047338
347,20.086744
348,-4.638227
349,-4.638227
350,-2.030180
351,13.832335
352,-3.961703
353,-3.242039
354,-2.363049
355,8.245624
356,1.274000
357,-4.405365
358,-2.017434
359,-2.105186
360,14.411793
361,-4.312221
362,-2.923877
363,-1.813006
364,24.106176
365,-2.985157
366,-3.598930
367,-2.308633
368,-2.285592
369,27.641748
370,-4.240157
371,-2.553260
372,-2.345400
373,19.394045
374,-3.894541
375,-3.609225
376,-2.443938
377,8.120613
378,0.942602
379,-4.323006
380,-2.162053
381,-2.088518
382,20.782389
383,-4.550965
384,-2.802299
385,-2.020865
386,25.078802
387,-2.642483
388,-3.699428
389,-2.323830
390,-2.371873
391,15.275585
392,-4.744607
393,-2.310594
394,-2.180192
395,11.225759
396,-4.355361
397,-3.390580
398,-1.901248
399,10.826708
400,0.418541
401,-3.939153
402,-2.171367
403,-2.396385
404,23.573784
405,-4.636266
406,-2.667975
407,-1.946350
408,27.248089
409,-3.753844
410,-3.735215
411,-2.323340
412,-2.626795
413,27.582920
414,-4.550475
415,-2.549828
416,-2.077242
417,13.553883
418,-4.814221
419,-3.056731
420,-2.061555
421,7.264664
422,1.121047
423,-4.329379
424,-2.442957
425,-2.574830
426,22.527132
427,-4.447526
428,-2.946428
429,-2.066457
430,27.210342
431,-4.147012
432,-3.458723
433,-2.110088
434,-1.836537
435,20.497072
436,-4.713233
437,-2.490510
438,-2.256178
439,14.461796
440,-4.414190
441,-3.523434
442,-2.223332
443,7.628909
444,1.394598
445,-4.158287
446,-2.247844
447,-2.389031
448,26.348021
449,-4.595086
450,-2.503256
451,-2.008610
452,26.820606
453,-3.325869
454,-3.891600
455,-2.123815
456,-2.296377
457,18.824883
458,-4.627442
459,-2.564535
460,-2.385600
461,13.029821
462,-4.306338
463,-3.208213
464,-2.240981
465,14.664753
466,-0.583498
467,-3.841106
468,-2.303731
469,-2.200291
470,24.275309
471,-4.677445
472,-2.911131
473,-2.073811
474,27.763327
475,-3.944055
476,-3.576379
477,-2.168916
478,-2.438055
479,14.194618
480,-4.271532
481,-2.545907
482,-2.026748
483,11.229191
484,-4.260746
485,-3.317535
486,-2.324321
487,-0.612422
488,4.992918
489,-4.129363
490,-2.234117
491,-2.166465
492,18.793016
493,-4.669602
494,-3.057711
495,-1.961057
496,15.280977
497,-1.097754
498,-4.029846
499,-2.029690
500,-1.915955
501,24.195890
502,-4.361244
503,-2.525807
504,-2.716018
505,26.348509
506,-3.382736
507,-3.590596
508,-2.367461
509,-2.301770
510,27.515268
511,-4.488215
512,-2.419916
513,-2.307652
514,21.189281
515,-4.039650
516,-3.065555
517,-1.991942
518,-1.386012
519,6.251840
520,-4.296043
521,-2.500805
522,-2.480215
523,12.438599
524,-4.470566
525,-3.054770
526,-2.120383
527,24.608177
528,-3.222430
529,-3.725410
530,-2.495412
531,-2.168916
532,27.227009
533,-4.435760
534,-2.038514
535,-2.572379
536,27.749599
537,-4.131814
538,-3.648934
539,-2.359617
540,-2.367461
541,25.431772
542,-4.418112
543,-2.316967
544,-2.209605
545,11.081630
546,-4.230842
547,-3.421465
548,-2.027729
549,2.040727
550,3.227584
551,-4.032787
552,-1.758590
553,-2.060084
554,21.078489
555,-4.777453
556,-2.577772
557,-2.292945
558,24.376297
559,-2.821418
560,-3.820516
561,-2.421387
562,-2.048318
563,17.151222
564,-4.522532
565,-2.506688
566,-2.323340
567,11.054176
568,-4.391149
569,-2.849362
570,-1.872815
571,2.126518
572,3.451131
573,-4.297514
574,-2.194899
575,-2.014982
576,21.267229
577,-4.950016
578,-2.697879
579,-2.151268
580,25.896513
581,-3.480783
582,-4.087694
583,-2.044887
584,-2.081164
585,27.073076
586,-4.511256
587,-2.465018
588,-2.164504
589,14.701031
590,-4.406346
591,-3.077811
592,-2.366481
593,16.927675
594,-1.537494
595,-4.072006
596,-2.216469
597,-2.164994
598,23.053154
599,-4.468606
600,-2.715037
601,-2.072340
602,26.883844
603,-4.399483
604,-3.019473
605,-2.109598
606,-2.213528
607,15.663361
608,-4.562731
609,-2.048809
610,-2.283631
611,11.411068
612,-4.508315
613,-3.226352
614,-2.219410
615,14.254917
616,-0.875678
617,-4.265649
618,-2.341479
619,-1.847322
620,26.552937
621,-4.207311
622,-2.119893
623,-2.465998
624,23.245325
625,-4.358793
626,-3.623932
627,-2.353734
628,-2.141463
629,14.427480
630,-4.823535
631,-2.355695
632,-2.374324
633,17.328686
634,-4.630873
635,-2.832203
636,-2.129207
637,26.903456
638,-3.683250
639,-3.225862
640,-2.311574
641,-2.093420
642,24.184124
643,-4.886775
644,-1.955664
645,-1.979196
646,13.596533
647,-4.278395
648,-3.567065
649,-2.535121
650,13.643595
651,-0.332008
652,-4.064162
653,-2.398836
654,-2.413053
655,17.068373
656,-4.326928
657,-3.115068
658,-2.245883
659,21.969736
660,-2.483156
661,-3.641090
662,-2.095871
663,-2.189996
664,26.641670
665,-4.612245
666,-2.065477
667,-1.973313
668,15.382946
669,-4.079850
670,-3.473430
671,-2.288533
672,-2.220391
673,7.300451
674,-4.279376
675,-2.180682
676,-2.108127
677,13.415146
678,-4.737744
679,-3.104283
680,-2.377756
681,25.219009
682,-3.242039
683,-3.860715
684,-2.210096
685,-2.248334
686,27.445654
687,-4.443604
688,-2.539533
689,-2.234117
690,27.742245
691,-3.831791
692,-3.878854
693,-2.074301
694,-2.086557
695,23.211988
696,-4.503903
697,-2.354225
698,-2.268924
699,12.475856
700,-4.458801
701,-3.127324
702,-1.976744
703,-0.388875
704,4.954680
705,-4.463703
706,-2.825340
707,-2.043906
708,16.362925
709,-4.324967
710,-3.077321
711,-2.528748
712,22.445753
713,-2.603264
714,-3.813653
715,-1.901248
716,-2.365500
717,26.255365
718,-4.490176
719,-2.686113
720,-2.440996
721,25.821507
722,-3.956311
723,-3.320967
724,-2.277748
725,-2.340008
726,15.520212
727,-4.509295
728,-2.377756
729,-2.670426
730,15.026546
731,-4.617147
732,-3.027317
733,-2.423348
734,6.597456
735,1.984840
736,-4.564692
737,-2.490020
738,-2.202252
739,24.237070
740,-4.285748
741,-3.014080
742,-2.166465
743,24.372374
744,-3.026336
745,-3.528826
746,-2.228235
747,-2.287553
748,24.143435
749,-4.179368
750,-2.391973
751,-2.202252
752,22.003071
753,-4.433799
754,-3.419014
755,-2.128227
756,-1.966449
757,7.865692
758,-4.230842
759,-2.340008
760,-2.061064
761,11.761585
762,-4.475469
763,-3.037121
764,-2.324321
765,13.653890
766,-0.321713
767,-4.189662
768,-2.071359
769,-2.255688
770,25.805328
771,-4.544592
772,-2.317457
773,-2.009590
774,28.270227
775,-4.070535
776,-3.886208
777,-2.240981
778,-2.576791
779,18.358669
780,-4.258295
781,-2.134600
782,-2.415014
783,12.444482
784,-4.403404
785,-3.143012
786,-2.290494
787,13.079335
788,-0.222195
789,-4.238195
790,-2.165485
791,-2.052240
792,22.980108
793,-4.788729
794,-2.615029
795,-2.045377
796,26.795113
797,-3.360186
798,-3.465586
799,-2.140483
800,-2.143424
801,26.400475
802,-4.504883
803,-2.130188
804,-2.275297
805,11.040940
806,-4.699016
807,-3.188113
808,-2.543455
809,8.356417
810,1.016137
811,-3.894051
812,-2.012531
813,-1.978705
814,24.736128
815,-4.550475
816,-2.599342
817,-2.415014
818,26.804918
819,-3.760707
820,-3.439114
821,-2.356186
822,-2.225783
823,19.736719
824,-4.649502
825,-2.373344
826,-2.153719
827,21.365767
828,-4.277905
829,-3.291553
830,-2.060084
831,2.430953
832,3.010900
833,-3.912680
834,-2.058613
835,-2.080184
836,24.029211
837,-4.524493
838,-2.794945
839,-1.909582
840,28.043251
841,-4.025924
842,-3.785219
843,-1.880168
844,-1.500236
845,6.269489
846,-4.345557
847,-2.512080
848,-2.502766
849,11.773351
850,-4.622540
851,-3.152326
852,-2.543946
853,23.663006
854,-2.672877
855,-3.857773
856,-2.327752
857,-2.061064
858,24.715538
859,-4.741176
860,-2.606205
861,-2.240981
862,27.503012
863,-3.894051
864,-3.409699
865,-2.412563
866,-2.378736
867,11.228209
868,-4.428896
869,-2.172348
870,-2.017924
871,15.688363
872,-4.277905
873,-2.651797
874,-2.160092
875,19.920557
876,-2.075772
877,-3.545985
878,-2.307652
879,-2.317457
880,25.689144
881,-4.681858
882,-2.643953
883,-2.294906
884,27.779013
885,-3.691584
886,-3.512158
887,-2.708174
888,-2.132149
889,17.185537
890,-4.667150
891,-2.195879
892,-2.163524
893,11.921401
894,-4.429387
895,-3.300377
896,-2.153229
897,2.227506
898,3.149637
899,-4.295063
900,-2.279709
901,-2.412072
902,16.558039
903,-4.435760
904,-2.893973
905,-1.949291
906,25.635218
907,-3.560201
908,-3.652365
909,-2.421387
910,-2.131658
911,26.259287
912,-4.844615
913,-2.462567
914,-2.148816
915,24.771915
916,-4.076418
917,-3.148895
918,-2.025768
919,-1.481117
920,6.429305
921,-4.585281
922,-2.262551
923,-2.364520
924,12.900400
925,-4.610774
926,-3.348910
927,-2.384619
928,9.665342
929,0.240586
930,-4.143090
931,-2.366481
932,-2.162543
933,22.321724
934,-4.710782
935,-2.593950
936,-2.237549
937,25.060665
938,-2.964567
939,-3.844537
940,-2.405209
941,-2.172348
942,25.479815
943,-4.473508
944,-2.328732
945,-2.252256
946,15.717776
947,-4.078869
948,-3.773453
949,-2.332654
950,-1.965959
951,9.126575
952,-4.533807
953,-2.278729
954,-2.260590
955,16.095257
956,-4.439192
957,-2.985647
958,-2.336576
959,19.037643
960,-1.752707
961,-3.540592
962,-2.162543
963,-2.452272
964,23.028643
965,-4.719606
966,-2.774356
967,-2.267943
968,27.383884
969,-4.187211
970,-3.331262
971,-2.541984
972,-2.240981
973,27.982950
974,-4.303887
975,-2.146365
976,-2.347852
977,14.424538
978,-4.323006
979,-3.399895
980,-2.453742
981,-2.104696
982,12.078277
983,-4.346047
984,-2.935643
985,-2.170877
986,15.187834
987,-0.576635
988,-3.792082
989,-2.133129
990,-2.081164
991,27.571644
992,-4.581360
993,-2.096852
994,-2.394914
995,25.705322
996,-4.327909
